station_id,day,num_stalls,sessions,energy_kwh,stall_minutes,utilization_pct,peak_concurrent,avg_queue_min,max_queue_min,busy_flag
Barcelo_Occidental_Tanger,02-Jan-2023,1,1,32.08,281.3,19.5347222222222,1,0,0,0
Barcelo_Occidental_Tanger,04-Jan-2023,1,1,49.9,277.6,19.2777777777778,1,0,0,0
Barcelo_Occidental_Tanger,05-Jan-2023,1,1,27.31,225.5,15.6597222222222,1,0,0,0
Barcelo_Occidental_Tanger,06-Jan-2023,1,1,29.92,262.4,18.2222222222222,1,0,0,0
Barcelo_Occidental_Tanger,08-Jan-2023,1,1,28.91,238.7,16.5763888888889,1,0,0,0
Barcelo_Occidental_Tanger,09-Jan-2023,1,1,32.08,281.3,19.5347222222222,1,0,0,0
Barcelo_Occidental_Tanger,10-Jan-2023,1,1,62.51,300,20.8333333333333,1,0,0,0
Barcelo_Occidental_Tanger,11-Jan-2023,1,2,59.74,509.7,35.3958333333333,1,0,0,0
Barcelo_Occidental_Tanger,12-Jan-2023,1,1,31.19,273.5,18.9930555555556,1,0,0,0
Barcelo_Occidental_Tanger,13-Jan-2023,1,1,57.18,300,20.8333333333333,1,0,0,0
Barcelo_Occidental_Tanger,14-Jan-2023,1,2,44.79,367.5,25.5208333333333,1,0,0,0
Barcelo_Occidental_Tanger,16-Jan-2023,1,1,55.72,300,20.8333333333333,1,0,0,0
Barcelo_Occidental_Tanger,18-Jan-2023,1,1,24.14,200.1,13.8958333333333,1,0,0,0
Barcelo_Occidental_Tanger,19-Jan-2023,1,1,44.96,249.9,17.3541666666667,1,0,0,0
Barcelo_Occidental_Tanger,20-Jan-2023,1,1,20.71,172.1,11.9513888888889,1,0,0,0
Barcelo_Occidental_Tanger,21-Jan-2023,1,1,25.1,203.5,14.1319444444444,1,0,0,0
Barcelo_Occidental_Tanger,22-Jan-2023,1,2,58.57,499.9,34.7152777777778,1,0,0,0
Barcelo_Occidental_Tanger,24-Jan-2023,1,1,28.91,238.7,16.5763888888889,1,0,0,0
Barcelo_Occidental_Tanger,25-Jan-2023,1,2,65.4,419.2,29.1111111111111,1,0,0,0
Barcelo_Occidental_Tanger,26-Jan-2023,1,1,40.24,300,20.8333333333333,1,0,0,0
Barcelo_Occidental_Tanger,27-Jan-2023,1,2,74.76,428.8,29.7777777777778,1,0,0,0
Barcelo_Occidental_Tanger,28-Jan-2023,1,1,18.59,171.1,11.8819444444444,1,0,0,0
Barcelo_Occidental_Tanger,29-Jan-2023,1,1,26.91,222.2,15.4305555555556,1,0,0,0
Barcelo_Occidental_Tanger,30-Jan-2023,1,1,26.95,238.5,16.5625,1,0,0,0
Barcelo_Occidental_Tanger,31-Jan-2023,1,1,51.6,286.6,19.9027777777778,1,0,0,0
Barcelo_Occidental_Tanger,01-Feb-2023,1,2,116.59,600,41.6666666666667,1,0,0,0
Barcelo_Occidental_Tanger,02-Feb-2023,1,1,24.18,196,13.6111111111111,1,0,0,0
Barcelo_Occidental_Tanger,04-Feb-2023,1,1,27.61,244.3,16.9652777777778,1,0,0,0
Barcelo_Occidental_Tanger,05-Feb-2023,1,1,28.91,238.7,16.5763888888889,1,0,0,0
Barcelo_Occidental_Tanger,06-Feb-2023,1,1,21.36,177.4,12.3194444444444,1,0,0,0
Barcelo_Occidental_Tanger,07-Feb-2023,1,1,32.08,281.3,19.5347222222222,1,0,0,0
Barcelo_Occidental_Tanger,09-Feb-2023,1,1,25.73,208.6,14.4861111111111,1,0,0,0
Barcelo_Occidental_Tanger,10-Feb-2023,1,1,28.91,238.7,16.5763888888889,1,0,0,0
Barcelo_Occidental_Tanger,11-Feb-2023,1,1,32.08,281.3,19.5347222222222,1,0,0,0
Barcelo_Occidental_Tanger,12-Feb-2023,1,1,24.34,201.6,14,1,0,0,0
Barcelo_Occidental_Tanger,13-Feb-2023,1,1,47.54,259.3,18.0069444444444,1,0,0,0
Barcelo_Occidental_Tanger,14-Feb-2023,1,1,38.27,208.7,14.4930555555556,1,0,0,0
Barcelo_Occidental_Tanger,15-Feb-2023,1,1,44.75,244.1,16.9513888888889,1,0,0,0
Barcelo_Occidental_Tanger,16-Feb-2023,1,1,42.31,235.1,16.3263888888889,1,0,0,0
Barcelo_Occidental_Tanger,17-Feb-2023,1,1,51.76,300,20.8333333333333,1,0,0,0
Barcelo_Occidental_Tanger,19-Feb-2023,1,2,49.96,409.1,28.4097222222222,1,0,0,0
Barcelo_Occidental_Tanger,20-Feb-2023,1,1,23.37,189.5,13.1597222222222,1,0,0,0
Barcelo_Occidental_Tanger,21-Feb-2023,1,1,15.27,127.8,8.875,1,0,0,0
Barcelo_Occidental_Tanger,23-Feb-2023,1,1,24.07,195.1,13.5486111111111,1,0,0,0
Barcelo_Occidental_Tanger,24-Feb-2023,1,1,27.8,229.6,15.9444444444444,1,0,0,0
Barcelo_Occidental_Tanger,25-Feb-2023,1,2,80.27,470,32.6388888888889,1,0,0,0
Barcelo_Occidental_Tanger,26-Feb-2023,1,1,26.2,216.5,15.0347222222222,1,0,0,0
Barcelo_Occidental_Tanger,27-Feb-2023,1,1,23.83,193.2,13.4166666666667,1,0,0,0
Barcelo_Occidental_Tanger,28-Feb-2023,1,2,54.9,465.6,32.3333333333333,1,0,0,0
Barcelo_Occidental_Tanger,02-Mar-2023,1,1,26.17,231.8,16.0972222222222,1,0,0,0
